,breed,tweet_id,timestamp,source,text,name,doggo,floofer,pupper,puppo,favorite_count,retweet_count,rating
0,Chihuahua,892177421306343426,1501561047,iPhone,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit.  ",Tilly,0,0,0,0,33512,6387,1.3
1,Chihuahua,891815181378084864,1501474683,iPhone,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike.  ,Archie,0,0,0,0,25260,4243,1.2
2,basset,891327558926688256,1501358424,iPhone,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such.  #BarkWeek ",Franklin,0,0,0,0,40653,9577,1.2
3,Chesapeake_Bay_retriever,891087950875897856,1501301297,iPhone,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking.  (IG: tucker_marlo) #BarkWeek ,0,0,0,0,0,20395,3178,1.3
4,Appenzeller,890971913173991426,1501273632,iPhone,"Meet Jax. He enjoys ice cream so much he gets nervous around it.  help Jax enjoy more things by clicking below

 ",Jax,0,0,0,0,11951,2117,1.3
5,Pomeranian,890729181411237888,1501215760,iPhone,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy.  ,0,0,0,0,0,66120,19278,1.3
6,Irish_terrier,890609185150312448,1501187151,iPhone,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet.  #BarkWeek ,Zoey,0,0,0,0,27995,4339,1.3
7,Pembroke,890240255349198849,1501099191,iPhone,This is Cassie. She is a college pup. Studying international doggo communication and stick theory.  so elegant much sophisticate ,Cassie,1,0,0,0,32214,7568,1.4
8,Samoyed,890006608113172480,1501043485,iPhone,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic.  would risk a petting #BarkWeek ,Koda,0,0,0,0,30878,7482,1.3
9,French_bulldog,889880896479866881,1501013513,iPhone,This is Bruno. He is a service shark. Only gets out of the water to assist you.  terrifyingly good boy ,Bruno,0,0,0,0,28005,5062,1.3
10,Pembroke,889665388333682689,1500962132,iPhone,Here's a puppo that seems to be on the fence about something haha no but seriously someone help her.  ,0,0,0,0,1,48361,10259,1.3
11,French_bulldog,889638837579907072,1500955802,iPhone,This is Ted. He does his best. Sometimes that's not enough. But it's ok.  would assist ,Ted,0,0,0,0,27408,4633,1.2
12,golden_retriever,889531135344209921,1500930124,iPhone,This is Stuart. He's sporting his favorite fanny pack. Secretly filled with bones only.  puppared puppo #BarkWeek ,Stuart,0,0,0,1,15226,2272,1.3
13,whippet,889278841981685760,1500869972,iPhone,This is Oliver. You're witnessing one of his many brutal attacks. Seems to be playing with his victim.  fr*ckin frightening #BarkWeek ,Oliver,0,0,0,0,25507,5549,1.3
14,golden_retriever,888917238123831296,1500783759,iPhone,This is Jim. He found a fren. Taught him how to sit like the good boys.  for both ,Jim,0,0,0,0,29320,4594,1.2
15,golden_retriever,888804989199671297,1500756997,iPhone,This is Zeke. He has a new stick. Very proud of it. Would like you to throw it for him without taking it.  would do my best ,Zeke,0,0,0,0,25808,4448,1.3
16,Siberian_husky,888554962724278272,1500697386,iPhone,This is Ralphus. He's powering up. Attempting maximum borkdrive.  inspirational af ,Ralphus,0,0,0,0,20102,3669,1.3
17,French_bulldog,888078434458587136,1500583773,iPhone,This is Gerald. He was just told he didn't get the job he interviewed for. A h*ckin injustice.  didn't want the job anyway ,Gerald,0,0,0,0,21957,3584,1.2
18,basset,887705289381826560,1500494808,iPhone,This is Jeffrey. He has a monopoly on the pool noodles. Currently running a 'boop for two' midweek sale.  h*ckin strategic ,Jeffrey,0,0,0,0,30455,5503,1.3
19,Pembroke,887473957103951883,1500439654,iPhone,This is Canela. She attempted some fancy porch pics. They were unsuccessful.  someone help her ,Canela,0,0,0,0,69719,18609,1.3
20,Mexican_hairless,887343217045368832,1500408483,iPhone,You may not have known you needed to see this today.  please enjoy (IG: emmylouroo) ,0,0,0,0,0,33947,10597,1.3
21,Samoyed,887101392804085760,1500350828,iPhone,This... is a Jubilant Antarctic House Bear. We only rate dogs. Please only send dogs. Thank you...  would suffocate in floof ,0,0,0,0,0,30811,6077,1.2
22,Chihuahua,886983233522544640,1500322656,iPhone,This is Maya. She's very shy. Rarely leaves her cup.  would find her an environment to thrive in ,Maya,0,0,0,0,35492,7925,1.3
23,kuvasz,886736880519319552,1500263921,iPhone,"This is Mingus. He's a wonderful father to his smol pup. Confirmed , but he needs your help

 ",Mingus,0,0,0,0,12185,3365,1.3
24,French_bulldog,886366144734445568,1500175531,iPhone,This is Roscoe. Another pupper fallen victim to spontaneous tongue ejections. Get the BlepiPen immediate.  deep breaths Roscoe ,Roscoe,0,0,1,0,21309,3249,1.2
25,pug,886258384151887873,1500149839,iPhone,This is Waffles. His doggles are pupside down. Unsure how to fix.  someone assist Waffles ,Waffles,0,0,0,0,28208,6409,1.3
26,Blenheim_spaniel,885984800019947520,1500084611,iPhone,Viewer discretion advised. This is Jimbo. He will rip ur finger right h*ckin off. Other dog clearly an accessory.  pls pet with caution ,Jimbo,0,0,0,0,33012,6942,1.2
27,pug,885528943205470208,1499975927,iPhone,This is Maisey. She fell asleep mid-excavation. Happens to the best of us.  would pat noggin approvingly ,Maisey,0,0,0,0,36300,6564,1.3
28,Labrador_retriever,885311592912609280,1499924106,iPhone,RT @dog_rates: This is Lilly. She just parallel barked. Kindly requests a reward now.  would pet so well ,Lilly,0,0,0,0,0,18936,1.3
29,malamute,885167619883638784,1499889780,iPhone,Here we have a corgi undercover as a malamute. Pawbably doing important investigative work. Zero control over tongue happenings.  ,0,0,0,0,0,22128,4462,1.3
30,Italian_greyhound,884925521741709313,1499832060,iPhone,"This is Earl. He found a hat. Nervous about what you think of it.  it's delightful, Earl ",Earl,0,0,0,0,78238,18881,1.2
31,chow,884876753390489601,1499820432,iPhone,This is Lola. It's her first time outside. Must test the earth and taste the atmosphere.  you're doing great Lola ,Lola,0,0,0,0,28193,5965,1.3
32,pug,884562892145688576,1499745602,iPhone,This is Kevin. He's just so happy.  what is your secret Kevin ,Kevin,0,0,0,0,24517,5021,1.3
33,Pembroke,884441805382717440,1499716733,iPhone,"I present to you, Pup in Hat. Pup in Hat is great for all occasions. Extremely versatile. Compact as h*ck.  (IG: itselizabethgales) ",0,0,0,0,0,27220,5769,1.4
34,German_shepherd,884162670584377345,1499650182,iPhone,Meet Yogi. He doesn't have any important dog meetings today he just enjoys looking his best at all times.  for dangerously dapper doggo ,Yogi,1,0,0,0,20547,3049,1.2
35,Doberman,883838122936631299,1499572804,iPhone,This is Noah. He can't believe someone made this mess. Got the vacuum out for you though. Offered to help clean pup.  super good boy ,Noah,0,0,0,0,22088,3517,1.2
36,golden_retriever,883482846933004288,1499488099,iPhone,"This is Bella. She hopes her smile made you smile. If not, she is also offering you her favorite monkey.  ",Bella,0,0,0,0,46362,10188,1.35
37,chow,883360690899218434,1499458975,iPhone,Meet Grizzwald. He may be the floofiest floofer I ever did see. Lost eyes saving a schoolbus from a volcano erpuption.  heroic as h*ck ,Grizzwald,0,1,0,0,22738,3762,1.3
38,golden_retriever,883117836046086144,1499401074,iPhone,"Please only send dogs. We don't rate mechanics, no matter how h*ckin good. Thank you...  would sneak a pat ",0,0,0,0,0,37543,6805,1.3
39,Eskimo_dog,882992080364220416,1499371091,iPhone,This is Rusty. He wasn't ready for the first pic. Clearly puppared for the second.  confirmed great boy ,Rusty,0,0,0,0,24153,4023,1.3
40,Labrador_retriever,882762694511734784,1499316401,iPhone,This is Gus. He's quite the cheeky pupper. Already perfected the disinterested wink.  would let steal my girl ,Gus,0,0,1,0,28579,5017,1.2
41,Pembroke,882627270321602560,1499284114,iPhone,This is Stanley. He has his first swim lesson today. Doggle straps adjusted. Ready to go.  Phelps is nervous (IG: stanleythe_corgi) ,Stanley,0,0,0,0,28117,6211,1.3
42,golden_retriever,882268110199369728,1499198483,iPhone,This is Alfy. You're witnessing his first watermelon experience. I think it was a success.  happy 4th Alfy 🇺🇸 ,Alfy,0,0,0,0,45351,11835,1.3
43,Weimaraner,881906580714921986,1499112288,iPhone,This is Rey. He's a Benebop Cumberfloof.  dangerously pettable ,Rey,0,0,0,0,24507,3453,1.2
44,Saluki,881666595344535552,1499055071,iPhone,This is Gary. He couldn't miss this puppertunity for a selfie. Flawless focusing skills.  would boop intensely ,Gary,0,0,0,0,50987,10910,1.3
45,Samoyed,881536004380872706,1499023936,iPhone,"Here is a pupper approaching maximum borkdrive. Zooming at never before seen speeds.  paw-inspiring af 
(IG: puffie_the_chow) ",a,0,0,1,0,49877,16302,1.4
46,Pembroke,880872448815771648,1498865732,iPhone,Ugh not again. We only rate dogs. Please don't send in well-dressed  floppy-tongued street penguins. Dogs only please. Thank you...  ,0,0,0,0,0,21488,3910,1.2
47,golden_retriever,880465832366813184,1498768787,iPhone,This is Bella. She had her first beach experience this morning. Complete success.  would perform a sandy boop ,Bella,0,0,0,0,28767,6414,1.2
48,Chihuahua,880221127280381952,1498710445,iPhone,Meet Jesse. He's a Fetty Woof. His tongue ejects without warning. A true bleptomaniac.  would snug well ,Jesse,0,0,0,0,27325,4331,1.2
49,miniature_pinscher,880095782870896641,1498680560,iPhone,Please don't send in photos without dogs in them. We're not @porch_rates. Insubordinate and churlish. Pretty good porch tho  ,0,0,0,0,0,27851,4445,1.1
50,basset,879862464715927552,1498624933,iPhone,This is Romeo. He would like to do an entrance. Requesting your immediate assistance.  ,Romeo,0,0,0,0,22464,3574,1.3
51,German_short-haired_pointer,879492040517615616,1498536617,iPhone,This is Bailey. He thinks you should measure ear length for signs of growth instead.  ,Bailey,0,0,0,0,23602,3256,1.2
52,English_springer,879415818425184262,1498518444,iPhone,This is Duddles. He did an attempt.  someone help him (vid by Georgia Felici) ,Duddles,0,0,0,0,106840,45106,1.3
53,vizsla,879008229531029506,1498421267,iPhone,This is Beau. That is Beau's balloon. He takes it everywhere.  would protect at all costs ,Beau,0,0,0,0,19118,2748,1.3
54,Italian_greyhound,878776093423087618,1498365922,iPhone,This is Snoopy. He's a proud #PrideMonthPuppo. Impeccable handwriting for not having thumbs.  would love back #PrideMonth ,Snoopy,0,0,0,1,19541,4224,1.3
55,basset,878281511006478336,1498248004,iPhone,"Meet Shadow. In an attempt to reach maximum zooming borkdrive, he tore his ACL. Still  tho. Help him out below

 ",Shadow,0,0,0,0,7831,1325,1.3
56,French_bulldog,878057613040115712,1498194623,iPhone,This is Emmy. She was adopted today. Massive round of pupplause for Emmy and her new family.  for all involved ,Emmy,0,0,0,0,42408,7017,1.4
57,Chesapeake_Bay_retriever,877736472329191424,1498118057,iPhone,This is Aja. She was just told she's a good dog. Suspicions confirmed.  would tell again ,Aja,0,0,0,0,80771,19656,1.3
58,Irish_setter,877611172832227328,1498088183,iPhone,RT @rachel2195: @dog_rates the boyfriend and his soaking wet pupper h*cking love his new hat  ,0,0,0,1,0,0,82,1.4
59,basset,877556246731214848,1498075088,iPhone,This is Penny. She's both pupset and fired pup. Not pleased w your barbaric attempts at cleanliness.  would enjoy more shampoo options ,Penny,0,0,0,0,23009,3913,1.2
60,Saluki,877316821321428993,1498018004,iPhone,"Meet Dante. At first he wasn't a fan of his new raincoat, then he saw his reflection. H*ckin handsome.  for water resistant good boy ",Dante,0,0,0,0,27612,5315,1.3
61,Pembroke,877201837425926144,1497990590,iPhone,This is Nelly. He graduated with his dogtorate today. Wants to know if you're proud of him.  would give congratulatory boop ,Nelly,0,0,0,0,27401,5731,1.2
62,bloodhound,876838120628539392,1497903873,iPhone,This is Ginger. She's having a ruff Monday. Too many pupper things going on. H*ckin exhausting.  would snug passionately ,Ginger,0,0,1,0,20876,3449,1.2
63,golden_retriever,876484053909872640,1497819457,iPhone,This is Benedict. He wants to thank you for this delightful urban walk. Hopes you know he loves you.  super duper good boy ,Benedict,0,0,0,0,18947,2467,1.3
64,Bernese_mountain_dog,876120275196170240,1497732725,iPhone,"Meet Venti, a seemingly caffeinated puppoccino. She was just informed the weekend would include walks, pats and scritches.  much excite ",Venti,0,0,0,0,28162,4806,1.3
65,Labrador_retriever,875747767867523072,1497643913,iPhone,"This is Goose. He's a womanizer. Cheeky as h*ck, but also deep. Tongue slip game on another level.  will steal your girl ",Goose,0,0,0,0,25456,4405,1.3
66,Siberian_husky,875144289856114688,1497500032,iPhone,Meet Nugget and Hank. Nugget took Hank's bone. Hank is wondering if you would please return it to him. Both  would not intervene ,Nugget,0,0,0,0,22137,5043,1.3
